   0  0 -20.00  13 1 R R  0.160   5.4
   1  0 -47.00   1 0 L R  0.489   6.4
   2  0 -24.26   8 1 R R  0.181   7.0
   3  0 -28.10   5 1 R R  0.192   7.7
   4  0 -31.43   3 1 L L  0.235   8.4
   5  0 -34.18   2 1 L L  0.229   9.1
   6  0 -36.43   2 1 L L  0.228   9.8
   7  0 -38.09   2 1 R R  0.233  10.5
   8  0 -39.32   1 1 L L  0.274  11.2
   9  0 -40.27   1 0 L R  0.312  11.9
  10  0 -37.15   2 1 R R  0.287  12.7
  11  0 -37.51   2 1 R R  0.275  13.4
  12  0 -37.80   2 1 L L  0.349  14.2
  13  0 -38.02   2 1 R R  0.352  15.0
  14  0 -38.24   2 1 L L  0.285  15.7
  15  0 -38.46   2 1 R R  0.252  16.4
  16  0 -38.60   1 0 R L  0.248  17.1
  17  0 -37.30   2 1 R R  0.248  17.9
  18  0 -37.44   2 1 R R  0.246  18.6
  19  0 -37.59   2 1 R R  0.298  19.3
  20  0 -37.66   2 1 R R  0.213  20.0
  21  0 -37.80   2 1 L L  0.313  20.8
  22  0 -37.88   2 1 L L  0.310  21.6
  23  0 -37.95   2 1 L L  0.361  22.5
  24  0 -38.02   2 1 L L  0.351  23.3
  25  0 -38.09   2 1 R R  0.251  24.1
  26  0 -38.17   2 1 L L  0.349  24.9
  27  0 -38.24   2 0 L R  0.447  25.8
  28  0 -37.59   2 1 L L  0.371  26.7
  29  0 -37.66   2 1 R R  0.264  27.4
  30  0 -37.73   2 1 R R  0.272  28.1
  31  0 -37.73   2 1 L L  0.386  29.2
  32  0 -37.80   2 1 L L  0.317  29.9
  33  0 -37.88   2 1 R R  0.251  30.6
  34  0 -37.95   2 0 R L  0.288  31.4
  35  0 -37.37   2 1 R R  0.283  32.3
  36  0 -37.44   2 1 L L  0.287  33.0
  37  0 -37.51   2 1 L L  0.410  33.9
  38  0 -37.51   2 1 R R  0.236  34.6
  39  0 -37.59   2 1 L L  0.351  35.4
  40  0 -37.66   2 1 R R  0.249  36.1
  41  0 -37.66   2 0 L R  0.349  36.9
  42  0 -37.23   2 1 R R  0.254  37.6
  43  0 -37.30   2 1 L L  0.276  38.4
  44  0 -37.30   2 1 L L  0.349  39.2
  45  0 -37.37   2 1 R R  0.275  39.9
  46  0 -37.37   2 1 L L  0.302  40.7
  47  0 -37.44   2 1 L L  0.392  41.6
  48  0 -37.44   2 1 L L  0.386  42.4
  49  0 -37.51   2 1 L L  0.275  43.1
  50  0 -37.51   2 1 L L  0.300  43.9
  51  0 -37.59   2 1 L L  0.262  44.6
  52  0 -37.59   2 1 R R  0.286  45.6
  53  0 -37.59   2 1 L L  0.284  46.4
  54  0 -37.66   2 0 L R  0.300  47.1
  55  0 -37.37   2 1 L L  0.336  47.9
  56  0 -37.37   2 1 L L  0.313  48.7
  57  0 -37.37   2 1 R R  0.263  49.4
  58  0 -37.44   2 1 R R  0.286  50.2
  59  0 -37.44   2 1 L L  0.253  50.9
  60  0 -37.44   2 1 L L  0.412  51.8
  61  0 -37.51   2 1 R R  0.214  52.5
  62  0 -37.51   2 1 R R  0.354  53.3
  63  0 -37.59   2 1 L L  0.238  54.0
  64  0 -37.59   2 1 R R  0.251  54.8
  65  0 -37.59   2 0 R L  0.294  55.5
  66  0 -37.37   2 1 L L  0.335  56.4
  67  0 -37.37   2 1 R R  0.313  57.2
  68  0 -37.37   2 1 R R  0.413  58.0
  69  0 -37.44   2 1 R R  0.334  58.9
  70  0 -37.44   2 1 R R  0.336  59.7
  71  0 -37.44   2 0 R L  0.212  60.4
  72  0 -37.23   2 1 L L  0.264  61.2
  73  0 -37.23   2 1 R R  0.268  62.0
  74  0 -37.23   2 1 R R  0.237  62.7
  75  0 -37.30   2 1 R R  0.309  63.5
  76  0 -37.30   2 1 L L  0.287  64.3
  77  0 -37.30   2 1 R R  0.236  65.0
  78  0 -37.37   2 1 L L  0.378  65.9
  79  0 -37.37   2 1 R R  0.261  66.6
  80  0 -37.37   2 1 R R  0.434  67.5
  81  0 -37.37   2 1 L L  0.264  68.3
  82  0 -37.44   2 1 L L  0.337  69.1
  83  0 -37.44   2 1 L L  0.515  70.1
  84  0 -37.44   2 1 L L  0.375  71.0
  85  0 -37.44   2 1 L L  0.289  71.8
  86  0 -37.51   2 1 R R  0.286  72.5
  87  0 -37.51   2 1 L L  0.228  73.2
  88  0 -37.51   2 1 L L  0.388  74.1
  89  0 -37.51   2 1 R R  0.226  74.8
  90  0 -37.59   2 1 R R  0.309  75.5
  91  0 -37.59   2 1 R R  0.277  76.3
  92  0 -37.59   2 1 R R  0.255  77.1
  93  0 -37.59   2 1 R R  0.241  77.8
  94  0 -37.59   2 1 R R  0.299  78.6
  95  0 -37.66   2 1 R R  0.278  79.3
  96  0 -37.66   2 1 R R  0.299  80.1
  97  0 -37.66   2 1 L L  0.488  81.1
  98  0 -37.66   2 1 R R  0.276  81.9
  99  0 -37.73   2 1 L L  0.276  82.7
