time	V(a)	V(b)	V(c)
2.789603124983868e-02	-7.487880e-01	-7.490327e-01	-1.497274e+00
2.804251562483868e-02	-8.670262e-01	-8.673186e-01	-1.733846e+00
2.818899999983868e-02	-1.003935e+00	-1.004274e+00	-2.007757e+00
2.833548437483869e-02	-1.162462e+00	-1.162851e+00	-2.324913e+00
2.848196874983869e-02	-1.346021e+00	-1.346472e+00	-2.692156e+00
2.862845312483869e-02	-1.558564e+00	-1.559083e+00	-3.117379e+00
2.877493749983869e-02	-1.804669e+00	-1.805270e+00	-3.609756e+00
2.892142187483869e-02	-2.089634e+00	-2.090327e+00	-4.179872e+00
2.906790624983870e-02	-2.419596e+00	-2.420400e+00	-4.840021e+00
2.921439062483870e-02	-2.801661e+00	-2.802588e+00	-5.604398e+00
2.936087499983870e-02	-3.244055e+00	-3.245130e+00	-6.489487e+00
2.950735937483870e-02	-3.756304e+00	-3.757544e+00	-7.514318e+00
2.965384374983870e-02	-4.349438e+00	-4.350878e+00	-8.700991e+00
2.980032812483871e-02	-5.036231e+00	-5.037888e+00	-1.007502e+01
2.994681249983871e-02	-5.831476e+00	-5.833455e+00	-1.166615e+01
2.999564062483871e-02	-6.123547e+00	-6.125637e+00	-1.225052e+01
3.004446874983871e-02	-6.426414e+00	-6.410837e+00	-1.282075e+01
3.004468426878825e-02	-6.427774e+00	-6.400870e+00	-1.280073e+01
3.004511530668732e-02	-6.430499e+00	-6.347915e+00	-1.269447e+01
3.004533605011401e-02	-6.431876e+00	-6.306632e+00	-1.261178e+01
3.004556776184804e-02	-6.433294e+00	-6.251187e+00	-1.250084e+01
3.004711325006654e-02	-6.441937e+00	-5.850790e+00	-1.170004e+01
3.004865873828503e-02	-6.449011e+00	-5.449232e+00	-1.089691e+01
3.005020422650352e-02	-6.454515e+00	-5.046513e+00	-1.009147e+01
3.005174971472202e-02	-6.458450e+00	-4.642633e+00	-9.283703e+00
3.005329520294051e-02	-6.460815e+00	-4.237592e+00	-8.473618e+00
3.005484069115900e-02	-6.461610e+00	-3.831391e+00	-7.661214e+00
3.005638617937750e-02	-6.460835e+00	-3.424029e+00	-6.846490e+00
3.006699689543080e-02	-6.412970e+00	-6.027419e-01	-1.203894e+00
3.008821832753740e-02	-6.195759e+00	5.076353e+00	1.015434e+01
3.009352368556405e-02	-6.112242e+00	6.078145e+00	1.215793e+01
3.010087285596959e-02	-5.972675e+00	6.493370e+00	1.298839e+01
3.014267122023936e-02	-5.201749e+00	6.498114e+00	1.299788e+01
3.018446958450914e-02	-4.458909e+00	6.501695e+00	1.300504e+01
3.022626794877891e-02	-3.744154e+00	6.504113e+00	1.300987e+01
3.026806631304868e-02	-3.057485e+00	6.505366e+00	1.301238e+01
3.030986467731845e-02	-2.398902e+00	6.505455e+00	1.301256e+01
3.035166304158823e-02	-1.768404e+00	6.504381e+00	1.301041e+01
3.039346140585800e-02	-1.165992e+00	6.502143e+00	1.300593e+01
3.044228953085800e-02	-4.904951e-01	6.502143e+00	1.300593e+01
3.049111765585800e-02	1.528046e-01	6.502142e+00	1.300593e+01
3.053994578085800e-02	7.654418e-01	6.502142e+00	1.300593e+01
3.058877390585800e-02	1.348878e+00	6.502142e+00	1.300593e+01
3.063760203085800e-02	1.904505e+00	6.502142e+00	1.300593e+01
3.068643015585800e-02	2.433648e+00	6.502142e+00	1.300593e+01
3.073525828085800e-02	2.937570e+00	6.502141e+00	1.300593e+01
3.078408640585801e-02	3.417473e+00	6.502141e+00	1.300593e+01
3.083291453085801e-02	3.874501e+00	6.502141e+00	1.300593e+01
3.093057078085801e-02	4.724245e+00	6.502141e+00	1.300593e+01
3.102822703085801e-02	5.494913e+00	6.502141e+00	1.300593e+01
3.104522968152765e-02	5.621665e+00	6.502183e+00	1.300602e+01
3.106223233219730e-02	5.746487e+00	6.502203e+00	1.300606e+01
3.107923498286694e-02	5.869379e+00	6.502203e+00	1.300606e+01
3.109623763353658e-02	5.990340e+00	6.502181e+00	1.300601e+01
3.111324028420622e-02	6.109371e+00	6.502138e+00	1.300592e+01
3.113024293487587e-02	6.226471e+00	6.502075e+00	1.300579e+01
3.114724558554551e-02	6.341642e+00	6.501990e+00	1.300561e+01
3.115334910117051e-02	6.382157e+00	6.501455e+00	1.300449e+01
3.115847707060420e-02	6.416030e+00	6.500003e+00	1.300148e+01
3.116353571688573e-02	6.449286e+00	6.497039e+00	1.299535e+01
3.116588636833486e-02	6.464642e+00	6.493189e+00	1.298748e+01
3.116876024297780e-02	6.483350e+00	6.484991e+00	1.297082e+01
3.116956440542348e-02	6.488558e+00	6.479034e+00	1.295879e+01
3.117005786171937e-02	6.491747e+00	6.472678e+00	1.294599e+01
3.117045748103202e-02	6.494322e+00	6.461031e+00	1.292256e+01
3.117083062132098e-02	6.496707e+00	6.429190e+00	1.285868e+01
3.117122654258199e-02	6.499204e+00	6.360755e+00	1.272158e+01
3.117145842312628e-02	6.500635e+00	6.304270e+00	1.260855e+01
3.117292390553728e-02	6.508885e+00	5.900090e+00	1.180018e+01
3.117438938794827e-02	6.515645e+00	5.495736e+00	1.099147e+01
3.117585487035926e-02	6.520915e+00	5.091211e+00	1.018242e+01
3.117732035277025e-02	6.524696e+00	4.686513e+00	9.373020e+00
3.117878583518124e-02	6.526987e+00	4.281643e+00	8.563280e+00
3.118025131759224e-02	6.527789e+00	3.876600e+00	7.753197e+00
3.118171680000323e-02	6.527102e+00	3.471385e+00	6.942771e+00
3.119173477419937e-02	6.483180e+00	7.049730e-01	1.409946e+00
3.121177072259166e-02	6.274050e+00	-4.351285e+00	-8.702571e+00
3.122323397199549e-02	6.098502e+00	-6.482929e+00	-1.296586e+01
3.123540990240057e-02	5.868029e+00	-6.495367e+00	-1.299073e+01
3.124758583280566e-02	5.640466e+00	-6.504608e+00	-1.300922e+01
3.125976176321075e-02	5.415813e+00	-6.510654e+00	-1.302131e+01
3.127193769361584e-02	5.194071e+00	-6.513503e+00	-1.302701e+01
3.128411362402093e-02	4.975238e+00	-6.513157e+00	-1.302631e+01
3.129628955442601e-02	4.759315e+00	-6.509614e+00	-1.301923e+01
3.130846548483110e-02	4.546302e+00	-6.502876e+00	-1.300575e+01
3.135729360983110e-02	3.711290e+00	-6.502819e+00	-1.300564e+01
3.140612173483109e-02	2.914412e+00	-6.502766e+00	-1.300553e+01
3.145494985983109e-02	2.155523e+00	-6.502715e+00	-1.300543e+01
3.150377798483109e-02	1.432810e+00	-6.502666e+00	-1.300533e+01
3.155260610983109e-02	7.445498e-01	-6.502619e+00	-1.300524e+01
3.160143423483108e-02	8.909982e-02	-6.502574e+00	-1.300515e+01
3.165026235983108e-02	-5.351042e-01	-6.502532e+00	-1.300506e+01
3.169909048483108e-02	-1.129552e+00	-6.502491e+00	-1.300498e+01
3.174791860983107e-02	-1.695661e+00	-6.502451e+00	-1.300490e+01
3.179674673483107e-02	-2.234783e+00	-6.502414e+00	-1.300483e+01
3.184557485983107e-02	-2.748205e+00	-6.502379e+00	-1.300476e+01
3.189440298483107e-02	-3.237151e+00	-6.502345e+00	-1.300469e+01
3.194323110983106e-02	-3.702788e+00	-6.502312e+00	-1.300463e+01
3.199205923483106e-02	-4.146228e+00	-6.502281e+00	-1.300456e+01
3.208971548483106e-02	-4.970697e+00	-6.502223e+00	-1.300445e+01
3.218737173483105e-02	-5.718433e+00	-6.502171e+00	-1.300434e+01
3.223619985983105e-02	-6.065770e+00	-6.501848e+00	-1.300368e+01
3.228586653452750e-02	-6.405987e+00	-6.500793e+00	-1.300149e+01
3.228754363392042e-02	-6.417032e+00	-6.500302e+00	-1.300047e+01
3.229089783270626e-02	-6.439048e+00	-6.497768e+00	-1.299525e+01
3.229646178105974e-02	-6.475435e+00	-6.490132e+00	-1.297964e+01
3.229765211449010e-02	-6.483164e+00	-6.484811e+00	-1.296887e+01
3.229873069280924e-02	-6.490149e+00	-6.475577e+00	-1.295024e+01
3.229934938333869e-02	-6.494139e+00	-6.460389e+00	-1.291970e+01
3.229981175824880e-02	-6.497092e+00	-6.420705e+00	-1.284013e+01
3.230031052949195e-02	-6.500218e+00	-6.332529e+00	-1.266357e+01
3.230064304828861e-02	-6.502246e+00	-6.253160e+00	-1.250478e+01
3.230348322428652e-02	-6.516948e+00	-5.515663e+00	-1.102978e+01
3.230632340028444e-02	-6.526357e+00	-4.774782e+00	-9.548007e+00
3.230916357628236e-02	-6.530473e+00	-4.030516e+00	-8.059470e+00
3.231200375228027e-02	-6.529295e+00	-3.282867e+00	-6.564164e+00
3.231484392827819e-02	-6.522825e+00	-2.531832e+00	-5.062089e+00
3.231768410427611e-02	-6.511062e+00	-1.777414e+00	-3.553246e+00
3.232052428027402e-02	-6.494005e+00	-1.019611e+00	-2.037635e+00
3.233950633243072e-02	-6.312144e+00	3.878057e+00	7.757740e+00
3.235077897412227e-02	-6.148320e+00	6.456769e+00	1.291518e+01
3.235108704953404e-02	-6.142776e+00	6.490138e+00	1.298192e+01
3.235758020175471e-02	-6.018888e+00	6.496740e+00	1.299513e+01
3.236407335397537e-02	-5.895959e+00	6.501713e+00	1.300507e+01
3.237056650619604e-02	-5.773990e+00	6.505057e+00	1.301176e+01
3.237705965841670e-02	-5.652981e+00	6.506773e+00	1.301519e+01
3.238355281063737e-02	-5.532931e+00	6.506859e+00	1.301536e+01
3.239004596285804e-02	-5.413842e+00	6.505316e+00	1.301228e+01
3.239653911507871e-02	-5.295712e+00	6.502145e+00	1.300594e+01
3.243738791420193e-02	-4.568176e+00	6.502144e+00	1.300593e+01
3.248621603920192e-02	-3.732180e+00	6.502144e+00	1.300593e+01
3.253504416420192e-02	-2.934367e+00	6.502143e+00	1.300593e+01
3.258387228920192e-02	-2.174581e+00	6.502143e+00	1.300593e+01
3.263270041420192e-02	-1.451011e+00	6.502143e+00	1.300593e+01
3.268152853920191e-02	-7.619285e-01	6.502143e+00	1.300593e+01
3.273035666420191e-02	-1.056911e-01	6.502142e+00	1.300593e+01
3.277918478920191e-02	5.192671e-01	6.502142e+00	1.300593e+01
3.282801291420191e-02	1.114437e+00	6.502142e+00	1.300593e+01
3.287684103920190e-02	1.681238e+00	6.502142e+00	1.300593e+01
3.292566916420190e-02	2.221024e+00	6.502142e+00	1.300593e+01
3.297449728920190e-02	2.735080e+00	6.502141e+00	1.300593e+01
3.302332541420189e-02	3.224635e+00	6.502141e+00	1.300593e+01
3.307215353920189e-02	3.690855e+00	6.502141e+00	1.300593e+01
3.312098166420189e-02	4.134852e+00	6.502141e+00	1.300593e+01
3.321863791420188e-02	4.960368e+00	6.502141e+00	1.300593e+01
3.331629416420188e-02	5.709064e+00	6.502141e+00	1.300593e+01
3.336512228920187e-02	6.056853e+00	6.501908e+00	1.300545e+01
3.341498635994621e-02	6.398825e+00	6.501066e+00	1.300370e+01
3.341705825143488e-02	6.412481e+00	6.500484e+00	1.300248e+01
3.342187360661776e-02	6.444139e+00	6.497983e+00	1.299729e+01
3.342623927852319e-02	6.472658e+00	6.491169e+00	1.298335e+01
3.342807703585041e-02	6.484593e+00	6.482955e+00	1.296672e+01
3.342908683646452e-02	6.491127e+00	6.471885e+00	1.294440e+01
3.342972688878279e-02	6.495231e+00	6.434989e+00	1.287039e+01
3.343047428174208e-02	6.499936e+00	6.324209e+00	1.264850e+01
3.343082571618351e-02	6.502076e+00	6.241530e+00	1.248306e+01
3.343234184892335e-02	6.510522e+00	5.822939e+00	1.164588e+01
3.343385798166319e-02	6.517393e+00	5.404285e+00	1.080857e+01
3.343537411440303e-02	6.522688e+00	4.985567e+00	9.971133e+00
3.343689024714287e-02	6.526408e+00	4.566785e+00	9.133570e+00
3.343840637988271e-02	6.528552e+00	4.147940e+00	8.295879e+00
3.343992251262255e-02	6.529121e+00	3.729031e+00	7.458062e+00
3.344143864536239e-02	6.528114e+00	3.310059e+00	6.620117e+00
3.345085809472514e-02	6.486467e+00	7.088824e-01	1.417765e+00
3.346969699345066e-02	6.294013e+00	-4.158488e+00	-8.316977e+00
3.348078518825282e-02	6.127420e+00	-6.473089e+00	-1.294618e+01
3.348152439432355e-02	6.113523e+00	-6.497205e+00	-1.299441e+01
3.352747839785392e-02	5.262338e+00	-6.500118e+00	-1.300024e+01
3.357343240138430e-02	4.444788e+00	-6.502318e+00	-1.300464e+01
3.361938640491467e-02	3.660873e+00	-6.503806e+00	-1.300761e+01
3.366534040844505e-02	2.910592e+00	-6.504580e+00	-1.300916e+01
3.371129441197542e-02	2.193946e+00	-6.504642e+00	-1.300928e+01
3.375724841550580e-02	1.510935e+00	-6.503991e+00	-1.300798e+01
3.380320241903617e-02	8.615589e-01	-6.502627e+00	-1.300525e+01
3.385203054403617e-02	2.005309e-01	-6.502582e+00	-1.300516e+01
3.390085866903617e-02	-4.289851e-01	-6.502539e+00	-1.300508e+01
3.394968679403616e-02	-1.028491e+00	-6.502498e+00	-1.300500e+01
3.399851491903616e-02	-1.599418e+00	-6.502459e+00	-1.300492e+01
3.404734304403616e-02	-2.143129e+00	-6.502421e+00	-1.300484e+01
3.409617116903615e-02	-2.660919e+00	-6.502385e+00	-1.300477e+01
3.414499929403615e-02	-3.154027e+00	-6.502351e+00	-1.300470e+01
3.419382741903615e-02	-3.623627e+00	-6.502318e+00	-1.300464e+01
3.424265554403615e-02	-4.070840e+00	-6.502287e+00	-1.300457e+01
3.434031179403614e-02	-4.902326e+00	-6.502229e+00	-1.300446e+01
3.443796804403614e-02	-5.656425e+00	-6.502175e+00	-1.300435e+01
3.453562429403613e-02	-6.343831e+00	-6.501853e+00	-1.300368e+01
3.454083104365251e-02	-6.378753e+00	-6.501235e+00	-1.300240e+01
3.454982331328502e-02	-6.438083e+00	-6.498606e+00	-1.299695e+01
3.455181582820342e-02	-6.451140e+00	-6.496753e+00	-1.299314e+01
3.455477693057770e-02	-6.470481e+00	-6.492236e+00	-1.298391e+01
3.455660342547621e-02	-6.482353e+00	-6.485221e+00	-1.296970e+01
3.455779148999435e-02	-6.490048e+00	-6.474892e+00	-1.294887e+01
3.455853259436974e-02	-6.494820e+00	-6.447767e+00	-1.289439e+01
3.455909633001915e-02	-6.498405e+00	-6.385359e+00	-1.276930e+01
3.455943846785649e-02	-6.500529e+00	-6.315537e+00	-1.262955e+01
3.456016054998028e-02	-6.504827e+00	-6.130863e+00	-1.226018e+01
3.456242679744950e-02	-6.516195e+00	-5.542028e+00	-1.108251e+01
3.456469304491872e-02	-6.524184e+00	-4.951065e+00	-9.900574e+00
3.456695929238794e-02	-6.528795e+00	-4.357973e+00	-8.714385e+00
3.456922553985716e-02	-6.530026e+00	-3.762752e+00	-7.523940e+00
3.457149178732638e-02	-6.527879e+00	-3.165403e+00	-6.329237e+00
3.457375803479561e-02	-6.522354e+00	-2.565925e+00	-5.130277e+00
3.457602428226483e-02	-6.513449e+00	-1.964319e+00	-3.927059e+00
3.459189547780841e-02	-6.398165e+00	2.282740e+00	4.567093e+00
3.460354434059378e-02	-6.249177e+00	5.090806e+00	1.018325e+01
3.461176961983428e-02	-6.109877e+00	6.486037e+00	1.297372e+01
3.465745222956054e-02	-5.263873e+00	6.494348e+00	1.299034e+01
3.470313483928680e-02	-4.451100e+00	6.500655e+00	1.300296e+01
3.474881744901305e-02	-3.671557e+00	6.504959e+00	1.301156e+01
3.479450005873930e-02	-2.925245e+00	6.507260e+00	1.301617e+01
3.484018266846556e-02	-2.212164e+00	6.507557e+00	1.301676e+01
3.488586527819182e-02	-1.532312e+00	6.505852e+00	1.301335e+01
3.493154788791807e-02	-8.856918e-01	6.502143e+00	1.300593e+01
3.498037601291807e-02	-2.235552e-01	6.502142e+00	1.300593e+01
3.502920413791807e-02	4.070209e-01	6.502142e+00	1.300593e+01
3.507803226291806e-02	1.007541e+00	6.502142e+00	1.300593e+01
3.512686038791806e-02	1.579437e+00	6.502142e+00	1.300593e+01
3.517568851291806e-02	2.124075e+00	6.502142e+00	1.300593e+01
3.522451663791806e-02	2.642752e+00	6.502142e+00	1.300593e+01
3.527334476291805e-02	3.136708e+00	6.502141e+00	1.300593e+01
3.532217288791805e-02	3.607119e+00	6.502141e+00	1.300593e+01
3.537100101291805e-02	4.055108e+00	6.502141e+00	1.300593e+01
3.546865726291804e-02	4.888044e+00	6.502141e+00	1.300593e+01
3.556631351291804e-02	5.643470e+00	6.502141e+00	1.300593e+01
3.566396976291803e-02	6.332008e+00	6.501919e+00	1.300547e+01
3.567007327854303e-02	6.372996e+00	6.501360e+00	1.300430e+01
3.567874080314708e-02	6.430254e+00	6.499329e+00	1.300008e+01
3.568087365225454e-02	6.444249e+00	6.497719e+00	1.299675e+01
3.568413482180894e-02	6.465577e+00	6.493600e+00	1.298830e+01
3.568663904627557e-02	6.481864e+00	6.484902e+00	1.297066e+01
3.568797493863542e-02	6.490525e+00	6.476270e+00	1.295322e+01
3.568817033778953e-02	6.491786e+00	6.473098e+00	1.294683e+01
3.568856113609775e-02	6.494303e+00	6.461833e+00	1.292417e+01
3.568889544474161e-02	6.496442e+00	6.435117e+00	1.287056e+01
3.568928687389139e-02	6.498917e+00	6.371150e+00	1.274238e+01
3.568950247479757e-02	6.500252e+00	6.320164e+00	1.264034e+01
3.569034419314091e-02	6.505209e+00	6.089223e+00	1.217845e+01
3.569290576459912e-02	6.517215e+00	5.381508e+00	1.076302e+01
3.569546733605733e-02	6.524705e+00	4.673854e+00	9.347708e+00
3.569802890751553e-02	6.527678e+00	3.966260e+00	7.932519e+00
3.570059047897375e-02	6.526136e+00	3.258726e+00	6.517451e+00
3.570315205043195e-02	6.520078e+00	2.551252e+00	5.102503e+00
3.570571362189016e-02	6.509503e+00	1.843838e+00	3.687676e+00
3.570827519334837e-02	6.494413e+00	1.136484e+00	2.272968e+00
3.572678461291735e-02	6.320080e+00	-3.786335e+00	-7.572669e+00
3.573807089002820e-02	6.157159e+00	-6.453834e+00	-1.290767e+01
3.573839186722765e-02	6.151396e+00	-6.490014e+00	-1.298003e+01
3.574484517372813e-02	6.028197e+00	-6.497136e+00	-1.299427e+01
3.575129848022861e-02	5.905945e+00	-6.502499e+00	-1.300500e+01
3.575775178672909e-02	5.784641e+00	-6.506103e+00	-1.301221e+01
3.576420509322956e-02	5.664285e+00	-6.507948e+00	-1.301590e+01
3.577065839973004e-02	5.544876e+00	-6.508033e+00	-1.301607e+01
3.577711170623053e-02	5.426415e+00	-6.506360e+00	-1.301272e+01
3.578356501273101e-02	5.308902e+00	-6.502927e+00	-1.300585e+01
3.582393386336907e-02	4.589209e+00	-6.502878e+00	-1.300576e+01
3.587276198836906e-02	3.752246e+00	-6.502822e+00	-1.300564e+01
3.592159011336906e-02	2.953416e+00	-6.502769e+00	-1.300554e+01
3.597041823836906e-02	2.192667e+00	-6.502717e+00	-1.300543e+01
3.601924636336905e-02	1.468184e+00	-6.502668e+00	-1.300534e+01
3.606807448836905e-02	7.782371e-01	-6.502621e+00	-1.300524e+01
3.611690261336905e-02	1.211812e-01	-6.502576e+00	-1.300515e+01
3.616573073836905e-02	-5.045521e-01	-6.502534e+00	-1.300507e+01
3.621455886336904e-02	-1.100456e+00	-6.502493e+00	-1.300499e+01
3.626338698836904e-02	-1.667952e+00	-6.502453e+00	-1.300491e+01
3.631221511336904e-02	-2.208395e+00	-6.502416e+00	-1.300483e+01
3.636104323836904e-02	-2.723075e+00	-6.502380e+00	-1.300476e+01
3.640987136336903e-02	-3.213219e+00	-6.502347e+00	-1.300469e+01
3.645869948836903e-02	-3.679997e+00	-6.502314e+00	-1.300463e+01
3.650752761336903e-02	-4.124524e+00	-6.502283e+00	-1.300457e+01
3.660518386336902e-02	-4.951014e+00	-6.502225e+00	-1.300445e+01
3.670284011336902e-02	-5.700581e+00	-6.502172e+00	-1.300434e+01
3.675166823836901e-02	-6.048775e+00	-6.501983e+00	-1.300395e+01
3.680049636336901e-02	-6.384188e+00	-6.501412e+00	-1.300277e+01
3.680184590931773e-02	-6.393220e+00	-6.501299e+00	-1.300253e+01
3.680454500121517e-02	-6.411015e+00	-6.500501e+00	-1.300088e+01
3.680994318501004e-02	-6.446435e+00	-6.495077e+00	-1.298978e+01
3.681604213722772e-02	-6.486245e+00	-6.481778e+00	-1.296274e+01
3.681681803567981e-02	-6.491261e+00	-6.472756e+00	-1.294456e+01
3.681725901747485e-02	-6.494102e+00	-6.459626e+00	-1.291816e+01
3.681764025330583e-02	-6.496537e+00	-6.426680e+00	-1.285208e+01
3.681805082938217e-02	-6.499123e+00	-6.356664e+00	-1.271185e+01
3.681831508358292e-02	-6.500751e+00	-6.295053e+00	-1.258857e+01
3.682112171367351e-02	-6.515421e+00	-5.566667e+00	-1.113179e+01
3.682392834376409e-02	-6.524910e+00	-4.834886e+00	-9.668214e+00
3.682673497385468e-02	-6.529217e+00	-4.099709e+00	-8.197854e+00
3.682954160394526e-02	-6.528342e+00	-3.361138e+00	-6.720704e+00
3.683234823403584e-02	-6.522286e+00	-2.619171e+00	-5.236765e+00
3.683515486412643e-02	-6.511048e+00	-1.873809e+00	-3.746036e+00
3.683796149421701e-02	-6.494628e+00	-1.125052e+00	-2.248519e+00
3.685718406036936e-02	-6.313218e+00	3.836709e+00	7.675043e+00
3.686860097790690e-02	-6.148149e+00	6.456039e+00	1.291372e+01
3.686891322321009e-02	-6.142536e+00	6.490030e+00	1.298171e+01
3.687543069956653e-02	-6.018186e+00	6.496697e+00	1.299504e+01
3.688194817592297e-02	-5.894804e+00	6.501718e+00	1.300508e+01
3.688846565227941e-02	-5.772388e+00	6.505094e+00	1.301184e+01
3.689498312863585e-02	-5.650939e+00	6.506825e+00	1.301530e+01
3.690150060499230e-02	-5.530457e+00	6.506910e+00	1.301547e+01
3.690801808134873e-02	-5.410943e+00	6.505350e+00	1.301235e+01
3.691453555770518e-02	-5.292395e+00	6.502145e+00	1.300594e+01
3.695553995322634e-02	-4.562263e+00	6.502144e+00	1.300593e+01
3.700436807822634e-02	-3.726516e+00	6.502144e+00	1.300593e+01
3.705319620322634e-02	-2.928973e+00	6.502143e+00	1.300593e+01
3.710202432822633e-02	-2.169444e+00	6.502143e+00	1.300593e+01
3.715085245322633e-02	-1.446118e+00	6.502143e+00	1.300593e+01
3.719968057822633e-02	-7.572694e-01	6.502143e+00	1.300593e+01
3.724850870322632e-02	-1.012541e-01	6.502142e+00	1.300593e+01
