time	V(n001)	V(n002)	V(n003)
1.153716742965333e-02	2.906348e-04	-4.097538e+00	4.112608e-01
1.173247992965333e-02	2.440942e-04	-4.414923e+00	4.429775e-01
1.192779242965333e-02	1.940501e-04	-4.665781e+00	4.680314e-01
1.212310492965333e-02	1.412550e-04	-4.846340e+00	4.860456e-01
1.231841742965332e-02	8.650299e-05	-4.953884e+00	4.967493e-01
1.251372992965332e-02	3.061764e-05	-4.986795e+00	4.999814e-01
1.270904242965332e-02	-2.556054e-05	-4.944578e+00	4.956933e-01
1.290435492965332e-02	-8.118662e-05	-4.827868e+00	4.839495e-01
1.309966742965332e-02	-1.354240e-04	-4.638421e+00	4.649267e-01
1.329497992965332e-02	-1.874568e-04	-4.379086e+00	4.389109e-01
1.349029242965332e-02	-2.365026e-04	-4.053763e+00	4.062935e-01
1.368560492965332e-02	-2.818236e-04	-3.667346e+00	3.675651e-01
1.388091742965332e-02	-3.227381e-04	-3.225647e+00	3.233082e-01
1.407622992965332e-02	-3.586307e-04	-2.735310e+00	2.741884e-01
1.427154242965332e-02	-3.889615e-04	-2.203709e+00	2.209445e-01
1.446685492965332e-02	-4.132743e-04	-1.638841e+00	1.643775e-01
1.466216742965332e-02	-4.312034e-04	-1.049201e+00	1.053380e-01
1.485747992965332e-02	-4.424790e-04	-4.436581e-01	4.471419e-02
1.515044867965331e-02	-4.465743e-04	4.745183e-01	-4.719448e-02
1.534576117965331e-02	-4.406990e-04	1.079785e+00	-1.077716e-01
1.554107367965331e-02	-4.280276e-04	1.668933e+00	-1.667278e-01
1.573638617965331e-02	-4.087504e-04	2.233100e+00	-2.231762e-01
1.593169867965332e-02	-3.831576e-04	2.763801e+00	-2.762679e-01
1.612701117965332e-02	-3.516340e-04	3.253054e+00	-3.252042e-01
1.632232367965332e-02	-3.146539e-04	3.693499e+00	-3.692492e-01
1.651763617965333e-02	-2.727736e-04	4.078513e+00	-4.077403e-01
1.671294867965333e-02	-2.266228e-04	4.402304e+00	-4.400986e-01
1.690826117965333e-02	-1.768959e-04	4.660002e+00	-4.658374e-01
1.710357367965333e-02	-1.243407e-04	4.847731e+00	-4.845696e-01
1.729888617965334e-02	-6.974774e-05	4.962667e+00	-4.960134e-01
1.749419867965334e-02	-1.393809e-05	5.003082e+00	-4.999967e-01
1.768951117965334e-02	4.224886e-05	4.968368e+00	-4.964596e-01
1.788482367965335e-02	9.796803e-05	4.859047e+00	-4.854552e-01
1.808013617965335e-02	1.523814e-04	4.676763e+00	-4.671492e-01
1.827544867965335e-02	2.046705e-04	4.424258e+00	-4.418168e-01
1.847076117965335e-02	2.540490e-04	4.105330e+00	-4.098391e-01
1.866607367965336e-02	2.997741e-04	3.724775e+00	-3.716970e-01
1.886138617965336e-02	3.411581e-04	3.288319e+00	-3.279643e-01
1.905669867965336e-02	3.775785e-04	2.802524e+00	-2.792987e-01
1.925201117965336e-02	4.084875e-04	2.274699e+00	-2.264321e-01
1.944732367965337e-02	4.334200e-04	1.712783e+00	-1.701598e-01
1.964263617965337e-02	4.520012e-04	1.125226e+00	-1.113281e-01
1.983794867965337e-02	4.639515e-04	5.208665e-01	-5.082200e-02
2.013091742965338e-02	4.690787e-04	-3.972574e-01	4.108256e-02
2.032622992965338e-02	4.638897e-04	-1.003638e+00	1.017720e-01
2.052154242965338e-02	4.518909e-04	-1.594802e+00	1.609307e-01
2.071685492965339e-02	4.332629e-04	-2.161856e+00	2.176688e-01
2.091216742965339e-02	4.082859e-04	-2.696272e+00	2.711330e-01
2.110747992965339e-02	3.773355e-04	-3.190012e+00	3.205191e-01
2.130279242965339e-02	3.408773e-04	-3.635649e+00	3.650843e-01
2.149810492965340e-02	2.994598e-04	-4.026481e+00	4.041583e-01
2.169341742965340e-02	2.537059e-04	-4.356629e+00	4.371533e-01
2.188872992965340e-02	2.043037e-04	-4.621128e+00	4.635732e-01
2.208404242965340e-02	1.519964e-04	-4.815999e+00	4.830205e-01
2.227935492965341e-02	9.757073e-05	-4.938310e+00	4.952027e-01
2.247466742965341e-02	4.184518e-05	-4.986223e+00	4.999367e-01
2.266997992965341e-02	-1.434207e-05	-4.959017e+00	4.971511e-01
2.286529242965342e-02	-7.014595e-05	-4.857101e+00	4.868878e-01
2.306060492965342e-02	-1.247272e-04	-4.682008e+00	4.693014e-01
2.325591742965342e-02	-1.772648e-04	-4.436371e+00	4.446562e-01
2.345122992965342e-02	-2.269686e-04	-4.123885e+00	4.133230e-01
2.364654242965343e-02	-2.730910e-04	-3.749251e+00	3.757730e-01
2.384185492965343e-02	-3.149383e-04	-3.318102e+00	3.325710e-01
2.403716742965343e-02	-3.518810e-04	-2.836924e+00	2.843669e-01
2.423247992965344e-02	-3.833635e-04	-2.312955e+00	2.318856e-01
2.442779242965344e-02	-4.089121e-04	-1.754074e+00	1.759165e-01
2.462310492965344e-02	-4.281427e-04	-1.168689e+00	1.173015e-01
2.481841742965344e-02	-4.407658e-04	-5.656041e-01	5.692217e-02
2.501372992965345e-02	-4.465916e-04	4.611008e-02	-4.313331e-03
2.520904242965345e-02	-4.455326e-04	6.572525e-01	-6.548395e-02
2.540435492965345e-02	-4.376045e-04	1.258631e+00	-1.256696e-01
2.559966742965345e-02	-4.229267e-04	1.841200e+00	-1.839651e-01
2.579497992965346e-02	-4.017200e-04	2.396198e+00	-2.394936e-01
2.599029242965346e-02	-3.743033e-04	2.915277e+00	-2.914199e-01
2.618560492965346e-02	-3.410892e-04	3.390629e+00	-3.389629e-01
2.638091742965347e-02	-3.025770e-04	3.815104e+00	-3.814077e-01
2.657622992965347e-02	-2.593463e-04	4.182319e+00	-4.181157e-01
2.677154242965347e-02	-2.120471e-04	4.486749e+00	-4.485348e-01
2.696685492965347e-02	-1.613911e-04	4.723816e+00	-4.722076e-01
2.716216742965348e-02	-1.081399e-04	4.889955e+00	-4.887780e-01
2.735747992965348e-02	-5.309465e-05	4.982666e+00	-4.979966e-01
2.755279242965348e-02	2.916829e-06	5.000555e+00	-4.997250e-01
2.774810492965349e-02	5.905210e-05	4.943352e+00	-4.939370e-01
2.794341742965349e-02	1.144669e-04	4.811919e+00	-4.807197e-01
2.813872992965349e-02	1.683277e-04	4.608232e+00	-4.602719e-01
2.833404242965349e-02	2.198244e-04	4.335354e+00	-4.329013e-01
2.852935492965350e-02	2.681826e-04	3.997391e+00	-3.990194e-01
2.872466742965350e-02	3.126748e-04	3.599425e+00	-3.591358e-01
2.891997992965350e-02	3.526318e-04	3.147442e+00	-3.138506e-01
2.911529242965350e-02	3.874527e-04	2.648240e+00	-2.638447e-01
2.931060492965351e-02	4.166136e-04	2.109328e+00	-2.098704e-01
2.950591742965351e-02	4.396759e-04	1.538812e+00	-1.527394e-01
2.970122992965351e-02	4.562927e-04	9.452725e-01	-9.331108e-02
2.989654242965352e-02	4.662140e-04	3.376369e-01	-3.247927e-02
3.009185492965352e-02	4.692906e-04	-2.749552e-01	2.884106e-02
3.028716742965352e-02	4.654762e-04	-8.832900e-01	8.972760e-02
3.048247992965352e-02	4.548283e-04	-1.478217e+00	1.492645e-01
3.067779242965353e-02	4.375068e-04	-2.050789e+00	2.065564e-01
3.087310492965353e-02	4.137725e-04	-2.592394e+00	2.607415e-01
3.106841742965353e-02	3.839823e-04	-3.094884e+00	3.110048e-01
3.126372992965353e-02	3.485844e-04	-3.550703e+00	3.565902e-01
3.145904242965353e-02	3.081111e-04	-3.952994e+00	3.968122e-01
3.165435492965354e-02	2.631714e-04	-4.295706e+00	4.310658e-01
3.184966742965354e-02	2.144411e-04	-4.573686e+00	4.588358e-01
3.204497992965354e-02	1.626531e-04	-4.782751e+00	4.797045e-01
3.224029242965355e-02	1.085864e-04	-4.919757e+00	4.933579e-01
3.243560492965355e-02	5.305423e-05	-4.982643e+00	4.995908e-01
3.263091742965355e-02	-3.108250e-06	-4.970465e+00	4.983094e-01
3.282622992965355e-02	-5.905632e-05	-4.883404e+00	4.895329e-01
3.302154242965356e-02	-1.139485e-04	-4.722770e+00	4.733934e-01
3.321685492965356e-02	-1.669592e-04	-4.490980e+00	4.501337e-01
3.341216742965356e-02	-2.172911e-04	-4.191519e+00	4.201034e-01
3.360747992965357e-02	-2.641871e-04	-3.828892e+00	3.837545e-01
3.380279242965357e-02	-3.069420e-04	-3.408553e+00	3.416335e-01
