time	V(n001)	V(n002)	V(n003)
0.000000000000000e+00	1.114760e-05	8.098422e-03	0.000000e+00
1.428571424964633e-07	1.323210e-05	8.117058e-03	4.487990e-05
2.857142849929266e-07	1.871158e-05	8.173380e-03	8.975979e-05
4.285714274893899e-07	2.758606e-05	8.267387e-03	1.346397e-04
5.714285699858532e-07	3.985552e-05	8.399080e-03	1.795196e-04
7.142857124823165e-07	5.551997e-05	8.568458e-03	2.243995e-04
8.571428549787799e-07	7.457941e-05	8.775522e-03	2.692793e-04
9.999999974752427e-07	9.703384e-05	9.020272e-03	3.141592e-04
1.999999994950485e-06	2.897097e-04	1.112753e-02	6.283183e-04
3.374307225868520e-06	6.340157e-04	1.490613e-02	1.060069e-03
5.153866347196604e-06	1.148751e-03	2.056379e-02	1.619132e-03
7.652664639626593e-06	1.916314e-03	2.900527e-02	2.404146e-03
6.242174671119511e-05	1.914536e-02	2.185251e-01	1.965000e-02
1.171908287827636e-04	3.630278e-02	4.072572e-01	3.682396e-02
1.719599108543322e-04	5.338859e-02	5.952017e-01	5.392603e-02
2.267289929259007e-04	7.040278e-02	7.823585e-01	7.095621e-02
2.814980749974692e-04	8.734535e-02	9.687277e-01	8.791450e-02
3.362671570690377e-04	1.042163e-01	1.154309e+00	1.048009e-01
3.910362391406061e-04	1.210157e-01	1.339103e+00	1.216154e-01
5.863487391406060e-04	1.794279e-01	1.981642e+00	1.800680e-01
7.816612391406060e-04	2.351416e-01	2.594497e+00	2.358123e-01
9.769737391406060e-04	2.873187e-01	3.168449e+00	2.880097e-01
1.172286239140606e-03	3.351744e-01	3.694867e+00	3.358752e-01
1.367598739140606e-03	3.779888e-01	4.165833e+00	3.786888e-01
1.562911239140607e-03	4.151182e-01	4.574262e+00	4.158066e-01
1.758223739140607e-03	4.460039e-01	4.914011e+00	4.466702e-01
1.953536239140607e-03	4.701815e-01	5.179971e+00	4.708155e-01
2.148848739140607e-03	4.872873e-01	5.368141e+00	4.878794e-01
2.344161239140607e-03	4.970639e-01	5.475690e+00	4.976050e-01
2.539473739140607e-03	4.993644e-01	5.501002e+00	4.998462e-01
2.734786239140607e-03	4.941542e-01	5.443696e+00	4.945693e-01
2.930098739140608e-03	4.815117e-01	5.304633e+00	4.818535e-01
3.125411239140608e-03	4.616269e-01	5.085906e+00	4.618903e-01
3.320723739140608e-03	4.347990e-01	4.790803e+00	4.349798e-01
3.516036239140608e-03	4.014314e-01	4.423765e+00	4.015268e-01
3.711348739140608e-03	3.620262e-01	3.990311e+00	3.620344e-01
3.906661239140608e-03	3.171760e-01	3.496961e+00	3.170968e-01
4.101973739140607e-03	2.675553e-01	2.951136e+00	2.673897e-01
4.297286239140607e-03	2.139105e-01	2.361044e+00	2.136607e-01
4.492598739140606e-03	1.570485e-01	1.735563e+00	1.567182e-01
4.687911239140605e-03	9.782452e-02	1.084098e+00	9.741844e-02
4.883223739140605e-03	3.712934e-02	4.164501e-01	3.665344e-02
5.176192489140603e-03	-5.467226e-02	-5.933707e-01	-5.523951e-02
5.371504989140603e-03	-1.150369e-01	-1.257385e+00	-1.156548e-01
5.566817489140602e-03	-1.736711e-01	-1.902364e+00	-1.743304e-01
5.762129989140601e-03	-2.296929e-01	-2.518609e+00	-2.303840e-01
5.957442489140601e-03	-2.822599e-01	-3.096850e+00	-2.829724e-01
6.152754989140600e-03	-3.305812e-01	-3.628390e+00	-3.313047e-01
6.348067489140599e-03	-3.739301e-01	-4.105234e+00	-3.746538e-01
6.543379989140599e-03	-4.116546e-01	-4.520210e+00	-4.123677e-01
6.738692489140598e-03	-4.431873e-01	-4.867076e+00	-4.438793e-01
6.934004989140597e-03	-4.680539e-01	-5.140615e+00	-4.687145e-01
7.129317489140597e-03	-4.858803e-01	-5.336712e+00	-4.864998e-01
7.324629989140596e-03	-4.963985e-01	-5.452419e+00	-4.969677e-01
7.519942489140595e-03	-4.994503e-01	-5.485994e+00	-4.999608e-01
7.715254989140594e-03	-4.949897e-01	-5.436934e+00	-4.954339e-01
7.910567489140595e-03	-4.830838e-01	-5.305975e+00	-4.834553e-01
8.105879989140594e-03	-4.639117e-01	-5.095087e+00	-4.642051e-01
8.301192489140593e-03	-4.377618e-01	-4.807443e+00	-4.379727e-01
8.496504989140593e-03	-4.050273e-01	-4.447368e+00	-4.051529e-01
8.691817489140592e-03	-3.662007e-01	-4.020278e+00	-3.662392e-01
8.887129989140591e-03	-3.218659e-01	-3.532598e+00	-3.218169e-01
9.082442489140590e-03	-2.726897e-01	-2.991662e+00	-2.725542e-01
9.277754989140590e-03	-2.194118e-01	-2.405607e+00	-2.191920e-01
9.473067489140589e-03	-1.628336e-01	-1.783247e+00	-1.625330e-01
9.668379989140588e-03	-1.038061e-01	-1.133944e+00	-1.034293e-01
9.863692489140588e-03	-4.321700e-02	-4.674629e-01	-4.276993e-02
1.015666123914059e-02	4.859788e-02	5.425039e-01	4.913714e-02
1.035197373914059e-02	1.090861e-01	1.207877e+00	1.096767e-01
1.054728623914059e-02	1.679337e-01	1.855205e+00	1.685666e-01
1.074259873914058e-02	2.242557e-01	2.474751e+00	2.249211e-01
1.093791123914058e-02	2.772047e-01	3.057195e+00	2.778925e-01
1.113322373914058e-02	3.259845e-01	3.593778e+00	3.266842e-01
1.132853623914058e-02	3.698613e-01	4.076428e+00	3.705623e-01
1.152384873914058e-02	4.081753e-01	4.497888e+00	4.088668e-01
1.171916123914058e-02	4.403500e-01	4.851816e+00	4.410215e-01
