time	V(n001)	V(n002)	V(n003)
1.048448249121824e-05	1.736044e-01	4.283056e-01	1.498649e-01
1.067979499121824e-05	2.160270e-01	3.229070e-01	2.071292e-01
1.077745124121824e-05	2.361882e-01	2.697874e-01	2.346452e-01
1.087510749121824e-05	2.555394e-01	2.165775e-01	2.612781e-01
1.097276374121824e-05	2.739938e-01	1.633244e-01	2.869276e-01
1.116807624121824e-05	3.078707e-01	5.675896e-02	3.348943e-01
1.136338874121824e-05	3.371692e-01	-4.984719e-02	3.778238e-01
1.155870124121824e-05	3.613039e-01	-1.564801e-01	4.150706e-01
1.175401374121823e-05	3.797666e-01	-2.631349e-01	4.460743e-01
1.194932624121823e-05	3.921339e-01	-3.698083e-01	4.703687e-01
1.214463874121823e-05	3.980743e-01	-4.764971e-01	4.875882e-01
1.233995124121823e-05	3.973528e-01	-5.831981e-01	4.974740e-01
1.253526374121823e-05	3.898347e-01	-6.899078e-01	4.998773e-01
1.273057624121823e-05	3.754876e-01	-7.966222e-01	4.947619e-01
1.292588874121823e-05	3.543817e-01	-9.033373e-01	4.822050e-01
1.312120124121823e-05	3.266889e-01	-1.010049e+00	4.623952e-01
1.331651374121822e-05	2.926804e-01	-1.116751e+00	4.356305e-01
1.341416999121822e-05	2.734187e-01	-1.170095e+00	4.197620e-01
1.351182624121822e-05	2.527231e-01	-1.223431e+00	4.023135e-01
1.360948249121822e-05	2.306539e-01	-1.276750e+00	3.833509e-01
1.370713874121822e-05	2.072781e-01	-1.330034e+00	3.629454e-01
1.380479499121822e-05	1.826715e-01	-1.383229e+00	3.411739e-01
1.390245124121822e-05	1.569243e-01	-1.436194e+00	3.181183e-01
1.400010749121822e-05	1.301582e-01	-1.488547e+00	2.938653e-01
1.409776374121822e-05	1.025586e-01	-1.539339e+00	2.685063e-01
1.419541999121822e-05	7.441369e-02	-1.586594e+00	2.421367e-01
1.429307624121822e-05	4.612430e-02	-1.627047e+00	2.148558e-01
1.439073249121822e-05	1.814312e-02	-1.656614e+00	1.867662e-01
1.448838874121822e-05	-9.139908e-03	-1.671687e+00	1.579736e-01
1.458604499121822e-05	-3.550404e-02	-1.670550e+00	1.285865e-01
1.468113132139366e-05	-6.025262e-02	-1.654143e+00	9.950671e-02
1.477878757139366e-05	-8.485620e-02	-1.624017e+00	6.927239e-02
1.487644382139366e-05	-1.088560e-01	-1.584123e+00	3.877734e-02
1.497410007139366e-05	-1.324454e-01	-1.537876e+00	8.136343e-03
1.516941257139366e-05	-1.788275e-01	-1.436328e+00	-5.312208e-02
1.536472507139366e-05	-2.241439e-01	-1.330828e+00	-1.135815e-01
1.556003757139366e-05	-2.678407e-01	-1.224544e+00	-1.723325e-01
1.575535007139365e-05	-3.091710e-01	-1.118116e+00	-2.284915e-01
1.595066257139365e-05	-3.473774e-01	-1.011660e+00	-2.812138e-01
1.614597507139365e-05	-3.817413e-01	-9.051942e-01	-3.297064e-01
1.634128757139365e-05	-4.116006e-01	-7.987212e-01	-3.732398e-01
1.653660007139365e-05	-4.363605e-01	-6.922411e-01	-4.111595e-01
1.663425632139365e-05	-4.466631e-01	-6.389981e-01	-4.278323e-01
1.673191257139365e-05	-4.555029e-01	-5.857531e-01	-4.428948e-01
1.682956882139365e-05	-4.628286e-01	-5.325060e-01	-4.562904e-01
1.692722507139365e-05	-4.685944e-01	-4.792567e-01	-4.679686e-01
1.702488132139365e-05	-4.727602e-01	-4.260052e-01	-4.778855e-01
1.712253757139365e-05	-4.752923e-01	-3.727514e-01	-4.860038e-01
1.722019382139365e-05	-4.761627e-01	-3.194952e-01	-4.922928e-01
1.731785007139364e-05	-4.753501e-01	-2.662368e-01	-4.967290e-01
1.741550632139364e-05	-4.728393e-01	-2.129759e-01	-4.992956e-01
1.761081882139364e-05	-4.626942e-01	-1.064470e-01	-4.987884e-01
1.780613132139364e-05	-4.457345e-01	9.148542e-05	-4.907790e-01
1.800144382139364e-05	-4.220695e-01	1.066393e-01	-4.753879e-01
1.819675632139364e-05	-3.919097e-01	2.131962e-01	-4.528465e-01
1.839206882139364e-05	-3.555627e-01	3.197614e-01	-4.234938e-01
1.858738132139364e-05	-3.134301e-01	4.263337e-01	-3.877714e-01
1.878269382139364e-05	-2.660002e-01	5.329068e-01	-3.462166e-01
1.897800632139363e-05	-2.138455e-01	6.394387e-01	-2.994543e-01
1.917331882139363e-05	-1.576464e-01	7.455680e-01	-2.481880e-01
1.927097507139363e-05	-1.283190e-01	7.978492e-01	-2.211044e-01
1.936863132139363e-05	-9.843555e-02	8.483228e-01	-1.931887e-01
1.946628757139363e-05	-6.833401e-02	8.946034e-01	-1.645458e-01
1.956394382139363e-05	-3.846838e-02	9.328752e-01	-1.352836e-01
1.966160007139363e-05	-9.317516e-03	9.587195e-01	-1.055123e-01
1.975925632139363e-05	1.874908e-02	9.687329e-01	-7.534377e-02
1.985691257139363e-05	4.558640e-02	9.620671e-01	-4.489171e-02
1.994803097997438e-05	6.952282e-02	9.415721e-01	-1.632365e-02
2.004568722997438e-05	9.417715e-02	9.074023e-01	1.435110e-02
2.014334347997438e-05	1.180589e-01	8.647938e-01	4.497182e-02
2.033865597997437e-05	1.641114e-01	7.661757e-01	1.055909e-01
2.053396847997437e-05	2.081818e-01	6.612788e-01	1.646218e-01
2.072928097997437e-05	2.498874e-01	5.550416e-01	2.211765e-01
2.092459347997437e-05	2.885478e-01	4.485313e-01	2.744046e-01
2.102224972997437e-05	3.065129e-01	3.952453e-01	2.995187e-01
2.111990597997437e-05	3.234532e-01	3.419484e-01	3.235055e-01
2.121756222997437e-05	3.392869e-01	2.886433e-01	3.462746e-01
2.131521847997437e-05	3.539363e-01	2.353312e-01	3.677405e-01
2.141287472997437e-05	3.673280e-01	1.820127e-01	3.878222e-01
2.160818722997437e-05	3.900690e-01	7.535840e-02	4.235366e-01
2.180349972997437e-05	4.070225e-01	-3.131641e-02	4.528806e-01
2.199881222997436e-05	4.177877e-01	-1.380089e-01	4.754128e-01
2.219412472997436e-05	4.220571e-01	-2.447160e-01	4.907944e-01
2.238943722997436e-05	4.196210e-01	-3.514344e-01	4.987940e-01
2.258474972997436e-05	4.103703e-01	-4.581604e-01	4.992913e-01
2.278006222997436e-05	3.942987e-01	-5.648903e-01	4.922788e-01
